#   min      max    nin  nout    f        ef     <mag>    <dmag>    sigma
# F814W
   20.000   20.250    8    8    1.000    0.000   20.148   -0.003    0.003
   20.250   20.500   25   25    1.000    0.000   20.376   -0.003    0.004
   20.500   20.750   41   42    1.024    0.025   20.648   -0.002    0.004
   20.750   21.000   55   56    1.018    0.018   20.899   -0.001    0.005
   21.000   21.250   89   87    0.978    0.016   21.123   -0.002    0.005
   21.250   21.500   89   88    0.989    0.011   21.377   -0.001    0.007
   21.500   21.750  102  104    1.020    0.014   21.625   -0.000    0.006
   21.750   22.000  108  106    0.981    0.013   21.881    0.000    0.006
   22.000   22.250  151  148    0.980    0.011   22.127    0.001    0.007
   22.250   22.500  177  179    1.011    0.008   22.383    0.003    0.008
   22.500   22.750  178  178    1.000    0.000   22.634    0.003    0.012
   22.750   23.000  201  193    0.960    0.014   22.878    0.004    0.016
   23.000   23.250  227  228    1.004    0.004   23.127    0.005    0.013
   23.250   23.500  190  185    0.974    0.012   23.370    0.006    0.015
   23.500   23.750  205  200    0.976    0.011   23.622    0.009    0.016
   23.750   24.000  178  172    0.966    0.014   23.882    0.010    0.019
   24.000   24.250  215  187    0.870    0.023   24.125    0.014    0.023
   24.250   24.500  194  191    0.985    0.009   24.368    0.012    0.032
   24.500   24.750  214  181    0.846    0.025   24.623    0.019    0.037
   24.750   25.000  195  150    0.769    0.030   24.879    0.016    0.057
   25.000   25.250  219  167    0.763    0.029   25.123    0.023    0.048
   25.250   25.500  200  134    0.670    0.033   25.375    0.031    0.055
   25.500   25.750  200  127    0.635    0.034   25.621    0.032    0.073
   25.750   26.000  194  118    0.608    0.035   25.867    0.037    0.076
   26.000   26.250  188   72    0.383    0.035   26.112    0.061    0.102
   26.250   26.500  200   82    0.410    0.035   26.382    0.031    0.146
   26.500   26.750  210   59    0.281    0.031   26.626    0.003    0.189
   26.750   27.000  191   35    0.183    0.028   26.851    0.041    0.212
   27.000   27.250  207   30    0.145    0.024   27.135    0.078    0.195
   27.250   27.500  180   21    0.117    0.024   27.400   -0.034    0.379
   27.500   27.750  213   21    0.099    0.020   27.621    0.221    0.328
   27.750   28.000  201    5    0.025    0.011   27.862    0.110    0.251
   28.000   28.250  218    6    0.028    0.011   28.109    0.351    0.970
   28.250   28.500  207    5    0.024    0.011   28.324    0.646    0.479
   28.500   28.750  216    5    0.023    0.010   28.596    0.333    0.746
   28.750   29.000  203    0    0.000    0.000   28.875      NaN      NaN
   29.000   29.250  219    0    0.000    0.000   29.125      NaN      NaN
   29.250   29.500  193    2    0.010    0.007   29.361    1.477    0.799
   29.500   29.750  159    1    0.006    0.006   29.705    2.227      NaN
   29.750   30.000  140    0    0.000    0.000   29.875      NaN      NaN
   30.000   30.250  124    0    0.000    0.000   30.125      NaN      NaN
   30.250   30.500  127    1    0.008    0.008   30.291    3.147      NaN
   30.500   30.750   88    1    0.011    0.011   30.714    2.208      NaN
   30.750   31.000   92    0    0.000    0.000   30.875      NaN      NaN
   31.000   31.250   62    0    0.000    0.000   31.125      NaN      NaN
   31.250   31.500   37    2    0.054    0.037   31.367    4.202    0.156
   31.500   31.750   18    0    0.000    0.000   31.625      NaN      NaN
   31.750   32.000    7    0    0.000    0.000   31.875      NaN      NaN
# F475W
   23.000   23.250  213  214    1.005    0.005   23.128    0.003    0.009
   23.250   23.500  206  202    0.981    0.010   23.379    0.004    0.009
   23.500   23.750  214  212    0.991    0.007   23.629    0.006    0.011
   23.750   24.000  227  227    1.000    0.000   23.869    0.005    0.012
   24.000   24.250  181  175    0.967    0.013   24.122    0.008    0.015
   24.250   24.500  176  177    1.006    0.006   24.367    0.011    0.015
   24.500   24.750  204  193    0.946    0.016   24.627    0.015    0.019
   24.750   25.000  214  217    1.014    0.008   24.873    0.016    0.022
   25.000   25.250  205  206    1.005    0.005   25.123    0.015    0.028
   25.250   25.500  201  193    0.960    0.014   25.372    0.018    0.031
   25.500   25.750  196  186    0.949    0.016   25.622    0.020    0.038
   25.750   26.000  199  188    0.945    0.016   25.867    0.031    0.043
   26.000   26.250  202  185    0.916    0.020   26.116    0.035    0.052
   26.250   26.500  183  162    0.885    0.024   26.370    0.034    0.065
   26.500   26.750  202  157    0.777    0.029   26.625    0.051    0.069
   26.750   27.000  202  153    0.757    0.030   26.880    0.049    0.095
   27.000   27.250  197  120    0.609    0.035   27.110    0.043    0.106
   27.250   27.500  197   93    0.472    0.036   27.377    0.062    0.146
   27.500   27.750  222   81    0.365    0.032   27.607    0.065    0.184
   27.750   28.000  191   63    0.330    0.034   27.865    0.065    0.222
   28.000   28.250  207   54    0.261    0.031   28.120    0.150    0.232
   28.250   28.500  187   34    0.182    0.028   28.363    0.091    0.442
   28.500   28.750  198   23    0.116    0.023   28.593    0.227    0.329
   28.750   29.000  209   29    0.139    0.024   28.849    0.298    0.395
   29.000   29.250  210   16    0.076    0.018   29.098    0.124    0.527
   29.250   29.500  193   14    0.073    0.019   29.365    0.256    0.551
   29.500   29.750  242    7    0.029    0.011   29.606    0.473    0.867
   29.750   30.000  196    4    0.020    0.010   29.874    0.887    1.065
   30.000   30.250  189    1    0.005    0.005   30.201    0.733      NaN
   30.250   30.500  229    3    0.013    0.008   30.298    0.624    0.470
   30.500   30.750  205    0    0.000    0.000   30.625      NaN      NaN
   30.750   31.000  226    2    0.009    0.006   30.920    1.241    0.147
   31.000   31.250  212    1    0.005    0.005   31.099    1.153      NaN
   31.250   31.500  202    1    0.005    0.005   31.305    2.703      NaN
   31.500   31.750  224    0    0.000    0.000   31.625      NaN      NaN
   31.750   32.000  194    1    0.005    0.005   31.810    3.152      NaN
