#  min       max    nin  nout    f        ef     <mag>    <dmag>   sigma
# F814W
   20.000   20.250    4    4    1.000    0.000   20.167   -0.006    0.004
   20.250   20.500   24   25    1.042    0.043   20.380   -0.003    0.004
   20.500   20.750   59   58    0.983    0.017   20.630   -0.003    0.005
   20.750   21.000   63   64    1.016    0.016   20.869   -0.002    0.007
   21.000   21.250   78   75    0.962    0.022   21.143   -0.002    0.006
   21.250   21.500   91   90    0.989    0.011   21.380   -0.001    0.007
   21.500   21.750  116  116    1.000    0.000   21.629    0.001    0.008
   21.750   22.000  137  134    0.978    0.013   21.881    0.001    0.009
   22.000   22.250  130  129    0.992    0.008   22.128    0.003    0.009
   22.250   22.500  156  156    1.000    0.000   22.367    0.004    0.011
   22.500   22.750  148  144    0.973    0.013   22.637    0.007    0.013
   22.750   23.000  194  190    0.979    0.010   22.876    0.006    0.013
   23.000   23.250  209  209    1.000    0.000   23.127    0.009    0.017
   23.250   23.500  232  223    0.961    0.013   23.378    0.011    0.020
   23.500   23.750  188  195    1.037    0.014   23.621    0.011    0.025
   23.750   24.000  202  198    0.980    0.010   23.876    0.019    0.027
   24.000   24.250  204  197    0.966    0.013   24.122    0.022    0.029
   24.250   24.500  204  195    0.956    0.014   24.376    0.022    0.038
   24.500   24.750  201  202    1.005    0.005   24.630    0.025    0.039
   24.750   25.000  191  191    1.000    0.000   24.869    0.031    0.048
   25.000   25.250  194  181    0.933    0.018   25.126    0.034    0.060
   25.250   25.500  210  200    0.952    0.015   25.379    0.043    0.090
   25.500   25.750  200  179    0.895    0.022   25.620    0.043    0.078
   25.750   26.000  227  164    0.722    0.030   25.879    0.053    0.094
   26.000   26.250  199  147    0.739    0.031   26.118    0.047    0.139
   26.250   26.500  213  120    0.563    0.034   26.365    0.061    0.141
   26.500   26.750  217  130    0.599    0.033   26.618    0.098    0.158
   26.750   27.000  208  102    0.490    0.035   26.875    0.067    0.208
   27.000   27.250  165   75    0.455    0.039   27.112    0.134    0.265
   27.250   27.500  227   64    0.282    0.030   27.386    0.081    0.397
   27.500   27.750  188   45    0.239    0.031   27.624    0.217    0.368
   27.750   28.000  208   44    0.212    0.028   27.871    0.206    0.449
   28.000   28.250  226   21    0.093    0.019   28.127    0.170    0.410
   28.250   28.500  183   17    0.093    0.021   28.392    0.459    0.469
   28.500   28.750  204    5    0.025    0.011   28.566    0.417    0.523
   28.750   29.000  209    4    0.019    0.009   28.912    0.898    0.380
   29.000   29.250  219    3    0.014    0.008   29.136    1.203    0.350
   29.250   29.500  169    1    0.006    0.006   29.400    1.890      NaN
   29.500   29.750  157    4    0.025    0.013   29.638    2.507    0.407
   29.750   30.000  136    0    0.000    0.000   29.875      NaN      NaN
   30.000   30.250  114    1    0.009    0.009   30.195    2.464      NaN
   30.250   30.500  127    0    0.000    0.000   30.375      NaN      NaN
   30.500   30.750  102    1    0.010    0.010   30.656    2.436      NaN
   30.750   31.000   53    0    0.000    0.000   30.875      NaN      NaN
   31.000   31.250   52    0    0.000    0.000   31.125      NaN      NaN
# F475X
   23.000   23.250  204  200    0.980    0.010   23.122    0.004    0.007
   23.250   23.500  190  186    0.979    0.010   23.373    0.005    0.009
   23.500   23.750  187  184    0.984    0.009   23.629    0.005    0.011
   23.750   24.000  200  198    0.990    0.007   23.874    0.007    0.011
   24.000   24.250  200  198    0.990    0.007   24.119    0.007    0.013
   24.250   24.500  255  252    0.988    0.007   24.375    0.009    0.014
   24.500   24.750  224  220    0.982    0.009   24.631    0.011    0.017
   24.750   25.000  201  207    1.030    0.012   24.874    0.012    0.022
   25.000   25.250  201  199    0.990    0.007   25.126    0.016    0.021
   25.250   25.500  197  194    0.985    0.009   25.380    0.017    0.023
   25.500   25.750  220  212    0.964    0.013   25.634    0.020    0.027
   25.750   26.000  186  187    1.005    0.005   25.883    0.022    0.037
   26.000   26.250  224  186    0.830    0.025   26.134    0.032    0.037
   26.250   26.500  178  169    0.949    0.016   26.365    0.037    0.046
   26.500   26.750  179  165    0.922    0.020   26.629    0.030    0.055
   26.750   27.000  194  159    0.820    0.028   26.888    0.042    0.070
   27.000   27.250  217  169    0.779    0.028   27.128    0.047    0.081
   27.250   27.500  198  143    0.722    0.032   27.378    0.059    0.119
   27.500   27.750  190  136    0.716    0.033   27.623    0.052    0.122
   27.750   28.000  222  113    0.509    0.034   27.865    0.063    0.165
   28.000   28.250  200  127    0.635    0.034   28.129    0.068    0.208
   28.250   28.500  202   90    0.446    0.035   28.365    0.117    0.181
   28.500   28.750  215   96    0.447    0.034   28.614    0.061    0.281
   28.750   29.000  223   80    0.359    0.032   28.878    0.108    0.342
   29.000   29.250  204   60    0.294    0.032   29.144    0.099    0.424
   29.250   29.500  194   48    0.247    0.031   29.357    0.203    0.353
   29.500   29.750  214   33    0.154    0.025   29.625    0.343    0.487
   29.750   30.000  186   28    0.151    0.026   29.856    0.217    0.624
   30.000   30.250  199   17    0.085    0.020   30.118    0.698    0.487
   30.250   30.500  212   18    0.085    0.019   30.343    0.882    0.421
   30.500   30.750  200    9    0.045    0.015   30.591    1.113    0.383
   30.750   31.000  198    5    0.025    0.011   30.889    1.675    0.459
   31.000   31.250  188    4    0.021    0.011   31.179    1.380    0.860
   31.250   31.500  209    1    0.005    0.005   31.456    1.372      NaN
   31.500   31.750  208    3    0.014    0.008   31.646    2.027    0.141
   31.750   32.000  194    1    0.005    0.005   31.859    2.703      NaN
