#   min     max     nin  nout    f        ef      <mag>   <dmag>    sigma
#  F814W
   20.000   20.250    9    9    1.000    0.000   20.149   -0.005    0.003
   20.250   20.500   27   29    1.074    0.054   20.398   -0.002    0.004
   20.500   20.750   44   42    0.955    0.031   20.633   -0.002    0.005
   20.750   21.000   68   68    1.000    0.000   20.870   -0.001    0.006
   21.000   21.250   77   77    1.000    0.000   21.130   -0.001    0.006
   21.250   21.500   81   83    1.025    0.018   21.380    0.000    0.008
   21.500   21.750  112  108    0.964    0.018   21.629    0.001    0.007
   21.750   22.000  129  126    0.977    0.013   21.883    0.001    0.009
   22.000   22.250  165  166    1.006    0.006   22.133    0.002    0.008
   22.250   22.500  171  163    0.953    0.016   22.369    0.003    0.010
   22.500   22.750  201  201    1.000    0.000   22.620    0.006    0.019
   22.750   23.000  200  188    0.940    0.017   22.881    0.008    0.015
   23.000   23.250  208  219    1.053    0.016   23.118    0.012    0.019
   23.250   23.500  231  220    0.952    0.014   23.380    0.010    0.018
   23.500   23.750  206  206    1.000    0.000   23.624    0.014    0.021
   23.750   24.000  190  192    1.011    0.007   23.870    0.017    0.027
   24.000   24.250  197  188    0.954    0.015   24.124    0.018    0.043
   24.250   24.500  223  222    0.996    0.004   24.371    0.019    0.034
   24.500   24.750  209  194    0.928    0.018   24.623    0.025    0.038
   24.750   25.000  208  216    1.038    0.014   24.874    0.026    0.046
   25.000   25.250  215  198    0.921    0.018   25.122    0.030    0.053
   25.250   25.500  207  194    0.937    0.017   25.372    0.037    0.063
   25.500   25.750  218  189    0.867    0.023   25.622    0.047    0.077
   25.750   26.000  189  154    0.815    0.028   25.883    0.037    0.101
   26.000   26.250  229  163    0.712    0.030   26.131    0.065    0.118
   26.250   26.500  194  145    0.747    0.031   26.372    0.068    0.137
   26.500   26.750  223  116    0.520    0.033   26.630    0.084    0.180
   26.750   27.000  227  103    0.454    0.033   26.875    0.085    0.201
   27.000   27.250  193   61    0.316    0.033   27.105    0.095    0.269
   27.250   27.500  208   62    0.298    0.032   27.361    0.117    0.392
   27.500   27.750  192   40    0.208    0.029   27.620    0.071    0.435
   27.750   28.000  185   30    0.162    0.027   27.849    0.326    0.377
   28.000   28.250  202   20    0.099    0.021   28.109    0.129    0.609
   28.250   28.500  200   11    0.055    0.016   28.394    0.230    0.788
   28.500   28.750  231    5    0.022    0.010   28.598    0.582    0.382
   28.750   29.000  201    9    0.045    0.015   28.877    0.656    0.348
   29.000   29.250  211    5    0.024    0.010   29.134    0.871    1.477
   29.250   29.500  184    5    0.027    0.012   29.302    1.211    0.802
   29.500   29.750  137    0    0.000    0.000   29.625      NaN      NaN
   29.750   30.000  158    2    0.013    0.009   29.920    1.206    1.413
   30.000   30.250  127    3    0.024    0.013   30.154    1.975    0.583
   30.250   30.500  113    2    0.018    0.012   30.275    2.982    0.581
   30.500   30.750   95    1    0.011    0.010   30.724    3.401      NaN
   30.750   31.000   88    0    0.000    0.000   30.875      NaN      NaN
   31.000   31.250   65    3    0.046    0.026   31.175    3.257    0.834
   31.250   31.500   50    0    0.000    0.000   31.375      NaN      NaN
   31.500   31.750   39    1    0.026    0.025   31.699    3.175      NaN
   31.750   32.000    8    1    0.125    0.117   31.826    4.135      NaN
#  F475X
   23.000   23.250  215  208    0.967    0.012   23.126    0.003    0.007
   23.250   23.500  213  215    1.009    0.007   23.375    0.002    0.038
   23.500   23.750  191  194    1.016    0.009   23.628    0.005    0.010
   23.750   24.000  233  224    0.961    0.013   23.875    0.006    0.010
   24.000   24.250  202  202    1.000    0.000   24.121    0.007    0.013
   24.250   24.500  219  214    0.977    0.010   24.375    0.007    0.025
   24.500   24.750  215  210    0.977    0.010   24.622    0.009    0.015
   24.750   25.000  233  231    0.991    0.006   24.880    0.012    0.018
   25.000   25.250  212  203    0.958    0.014   25.118    0.016    0.020
   25.250   25.500  208  213    1.024    0.011   25.374    0.017    0.023
   25.500   25.750  208  196    0.942    0.016   25.617    0.020    0.031
   25.750   26.000  192  196    1.021    0.011   25.871    0.022    0.035
   26.000   26.250  221  192    0.869    0.023   26.125    0.019    0.039
   26.250   26.500  207  200    0.966    0.013   26.373    0.031    0.045
   26.500   26.750  197  179    0.909    0.021   26.628    0.030    0.056
   26.750   27.000  202  157    0.777    0.029   26.871    0.038    0.067
   27.000   27.250  217  174    0.802    0.027   27.118    0.042    0.080
   27.250   27.500  202  174    0.861    0.024   27.380    0.038    0.168
   27.500   27.750  239  155    0.649    0.031   27.633    0.051    0.112
   27.750   28.000  218  134    0.615    0.033   27.867    0.051    0.158
   28.000   28.250  194  115    0.593    0.035   28.127    0.067    0.183
   28.250   28.500  213   87    0.408    0.034   28.370    0.105    0.169
   28.500   28.750  196   86    0.439    0.035   28.627    0.072    0.275
   28.750   29.000  190   71    0.374    0.035   28.878    0.184    0.292
