#  min       max    nin  nout    f        ef     <mag>    <dmag>    sigma
#  F814W
   20.000   20.250   12   12    1.000    0.000   20.144   -0.001    0.002
   20.250   20.500   24   25    1.042    0.043   20.388   -0.002    0.005
   20.500   20.750   46   47    1.022    0.022   20.642   -0.001    0.005
   20.750   21.000   71   68    0.958    0.024   20.884   -0.001    0.006
   21.000   21.250   85   86    1.012    0.012   21.135   -0.000    0.007
   21.250   21.500   82   86    1.049    0.025   21.383   -0.002    0.014
   21.500   21.750  124  118    0.952    0.019   21.626    0.002    0.007
   21.750   22.000  149  147    0.987    0.009   21.878    0.002    0.008
   22.000   22.250  135  132    0.978    0.013   22.126    0.002    0.012
   22.250   22.500  156  156    1.000    0.000   22.365    0.005    0.012
   22.500   22.750  189  190    1.005    0.005   22.631    0.005    0.014
   22.750   23.000  206  198    0.961    0.013   22.878    0.007    0.014
   23.000   23.250  219  219    1.000    0.000   23.120    0.009    0.017
   23.250   23.500  217  209    0.963    0.013   23.376    0.013    0.019
   23.500   23.750  213  218    1.023    0.011   23.624    0.014    0.030
   23.750   24.000  220  206    0.936    0.016   23.876    0.015    0.024
   24.000   24.250  215  205    0.953    0.014   24.118    0.020    0.027
   24.250   24.500  216  214    0.991    0.007   24.371    0.026    0.033
   24.500   24.750  192  187    0.974    0.011   24.616    0.029    0.044
   24.750   25.000  198  198    1.000    0.000   24.877    0.032    0.047
   25.000   25.250  245  226    0.922    0.017   25.128    0.031    0.056
   25.250   25.500  220  193    0.877    0.022   25.373    0.042    0.068
   25.500   25.750  202  174    0.861    0.024   25.623    0.045    0.093
   25.750   26.000  244  176    0.721    0.029   25.878    0.048    0.097
   26.000   26.250  194  150    0.773    0.030   26.125    0.062    0.125
   26.250   26.500  210  122    0.581    0.034   26.372    0.069    0.121
   26.500   26.750  186  100    0.538    0.037   26.614    0.039    0.201
   26.750   27.000  188   94    0.500    0.036   26.864    0.089    0.250
   27.000   27.250  194   68    0.351    0.034   27.125    0.103    0.289
   27.250   27.500  186   71    0.382    0.036   27.375    0.032    0.411
   27.500   27.750  223   21    0.094    0.020   27.620    0.064    0.430
   27.750   28.000  217   29    0.134    0.023   27.904    0.272    0.385
   28.000   28.250  227   20    0.088    0.019   28.081    0.173    0.579
   28.250   28.500  223   12    0.054    0.015   28.405    0.403    0.442
   28.500   28.750  207    9    0.043    0.014   28.641    0.631    0.525
   28.750   29.000  188    5    0.027    0.012   28.837    0.664    0.788
   29.000   29.250  186    4    0.022    0.011   29.148    1.530    0.280
   29.250   29.500  206    1    0.005    0.005   29.277    1.549      NaN
   29.500   29.750  144    0    0.000    0.000   29.625      NaN      NaN
   29.750   30.000  148    1    0.007    0.007   29.961    2.303      NaN
   30.000   30.250  123    0    0.000    0.000   30.125      NaN      NaN
   30.250   30.500  113    1    0.009    0.009   30.400    1.806      NaN
   30.500   30.750   85    0    0.000    0.000   30.625      NaN      NaN
   30.750   31.000   76    0    0.000    0.000   30.875      NaN      NaN
   31.000   31.250   54    2    0.037    0.026   31.149    3.352    0.612
   31.250   31.500   42    1    0.024    0.024   31.266    4.614      NaN
   31.500   31.750   26    0    0.000    0.000   31.625      NaN      NaN
   31.750   32.000    7    1    0.143    0.132   31.977    3.975      NaN
#  F475X
   23.000   23.250  205  201    0.980    0.010   23.118    0.003    0.008
   23.250   23.500  214  210    0.981    0.009   23.383    0.005    0.011
   23.500   23.750  246  245    0.996    0.004   23.623    0.005    0.009
   23.750   24.000  188  194    1.032    0.013   23.873    0.005    0.012
   24.000   24.250  222  213    0.959    0.013   24.128    0.006    0.011
   24.250   24.500  210  208    0.990    0.007   24.378    0.008    0.014
   24.500   24.750  209  203    0.971    0.012   24.621    0.009    0.015
   24.750   25.000  229  227    0.991    0.006   24.876    0.012    0.025
   25.000   25.250  208  201    0.966    0.013   25.122    0.015    0.020
   25.250   25.500  230  223    0.970    0.011   25.376    0.017    0.028
   25.500   25.750  217  206    0.949    0.015   25.625    0.021    0.030
   25.750   26.000  222  215    0.968    0.012   25.871    0.019    0.034
   26.000   26.250  209  196    0.938    0.017   26.118    0.023    0.041
   26.250   26.500  203  183    0.901    0.021   26.379    0.032    0.048
   26.500   26.750  208  177    0.851    0.025   26.621    0.027    0.073
   26.750   27.000  192  172    0.896    0.022   26.874    0.037    0.081
   27.000   27.250  205  157    0.766    0.030   27.136    0.029    0.125
   27.250   27.500  197  150    0.761    0.030   27.379    0.035    0.102
   27.500   27.750  214  139    0.650    0.033   27.633    0.051    0.151
   27.750   28.000  197  131    0.665    0.034   27.865    0.061    0.166
   28.000   28.250  198  120    0.606    0.035   28.123    0.049    0.199
   28.250   28.500  203   82    0.404    0.034   28.394    0.039    0.293
   28.500   28.750  205   93    0.454    0.035   28.629    0.083    0.289
   28.750   29.000  221   53    0.240    0.029   28.864    0.106    0.342
