RA,DEC,x,y,F814W,F475W,C,field,M_err,C_err
49.42554231,41.34616192,178.0240808,4050.740932,26.15684581,29.15797976,3.00113395,V14WFC3,0.122450521,0.29008672
49.42971571,41.34571388,80.29234869,3780.27634,26.38558078,29.29940409,2.913823311,V14WFC3,0.145397778,0.355610788
49.4236866,41.34487692,340.5484657,4107.686359,26.03419184,28.58440004,2.550208199,V14WFC3,0.111675939,0.260075894
49.42503879,41.3448062,302.9130365,4023.228555,22.42060542,25.39442354,2.973818123,V14WFC3,0.007403958,0.0104184
49.43184507,41.34469103,94.13801269,3608.39051,26.55931926,32.456318,5.896998742,V14WFC3,0.16566049,0.415103123
49.42366871,41.34440051,379.3418419,4088.439348,26.10323405,30.20369616,4.100462105,V14WFC3,0.117618676,0.276565047
49.4336033,41.34399266,93.83772517,3472.699439,26.11058306,30.5013151,4.390732033,V14WFC3,0.118269569,0.278380624
49.42666606,41.34367249,341.743328,3876.851872,26.05757975,31.39354868,5.335968926,V14WFC3,0.113654619,0.265548419
49.43538753,41.34351782,74.77050468,3344.980137,25.34246135,30.8193017,5.476840356,V14WFC3,0.066430293,0.140482502
49.43781486,41.3430099,37.74940808,3177.117776,25.89773249,26.35134592,0.453613427,V14WFC3,0.100799006,0.230321295
49.43110948,41.34294026,258.1518064,3577.989387,25.62035632,26.69441248,1.074056161,V14WFC3,0.081845689,0.179919596
49.43234653,41.34295674,217.2015376,3504.187722,25.92141795,26.95702707,1.035609124,V14WFC3,0.102607892,0.235230032
49.42652814,41.34295492,403.7274135,3854.544338,26.09222674,29.894695,3.802468255,V14WFC3,0.116650467,0.273867813
49.43474922,41.3429303,142.3499395,3358.352493,26.36973071,28.44194735,2.072216637,V14WFC3,0.143677446,0.350627547
49.42864938,41.34277744,350.01826,3719.210906,26.38991809,30.04586412,3.655946038,V14WFC3,0.145872119,0.356986732
49.43452482,41.34261697,174.6747406,3358.49697,26.42928958,29.8334437,3.404154122,V14WFC3,0.150249308,0.369722785
49.43889768,41.34257541,37.91069092,3093.362489,26.42590594,29.419004,2.993098061,V14WFC3,0.149868023,0.368610612
49.43920359,41.34242114,40.48449008,3068.354856,26.120404,29.97637774,3.855973733,V14WFC3,0.119145023,0.28082551
49.42603786,41.34240012,463.9396961,3860.403648,25.84634852,27.47724619,1.630897668,V14WFC3,0.096983631,0.220021426
49.43897828,41.34210532,73.0372687,3068.447219,26.39230799,27.32295054,0.930642541,V14WFC3,0.146134147,0.357747167
49.4327373,41.34202989,279.0358743,3441.104013,26.20353579,28.27384966,2.070313866,V14WFC3,0.126819957,0.302400079
49.43270975,41.34162016,312.7874289,3425.280622,25.83473468,30.22316568,4.388431008,V14WFC3,0.096141485,0.217758011
49.42692513,41.34153421,504.9865646,3770.019656,22.0228374,25.2495006,3.226663201,V14WFC3,0.005492122,0.007311262
49.43323822,41.34139037,314.2914526,3383.646116,26.39444232,31.70205332,5.307611001,V14WFC3,0.146368552,0.358427647
49.44065013,41.34120697,91.53401664,2929.419724,26.22210002,29.10634852,2.884248498,V14WFC3,0.128600286,0.30743995
49.43777472,41.34071884,222.820004,3081.76536,26.59271312,30.12073984,3.528026726,V14WFC3,0.169867248,0.427630542
49.42634426,41.34039476,615.003759,3756.392462,25.85929751,26.49135103,0.632053521,V14WFC3,0.097931292,0.222572796
49.43247246,41.34020523,433.8967737,3379.197654,24.74115062,26.20804491,1.466894295,V14WFC3,0.042292294,0.08224468
49.44209927,41.34015968,129.1098345,2797.447319,26.20142245,30.15814348,3.956721032,V14WFC3,0.126618854,0.301831606
49.42655393,41.339985,641.1601145,3726.281679,26.35438609,29.36692339,3.012537301,V14WFC3,0.142031369,0.345869756
49.43297077,41.339853,446.1881745,3334.154871,25.44428325,30.13310648,4.688823235,V14WFC3,0.071708932,0.15381357
49.42926794,41.33971885,575.5729028,3551.45545,25.56877208,27.07735033,1.508578255,V14WFC3,0.07873588,0.171843024
49.44655427,41.33958505,32.44468923,2504.615064,26.64758754,31.0514509,4.403863366,V14WFC3,0.177013258,0.449042574
49.43835765,41.33947473,303.9440462,2993.564432,25.67816615,27.07785502,1.399688866,V14WFC3,0.085477001,0.189422835
49.44002296,41.33938362,257.8933044,2889.377291,26.44310832,28.50196352,2.058855202,V14WFC3,0.15181657,0.374299836
49.44728205,41.33936315,26.92092214,2451.312716,26.03830027,28.07241724,2.034116967,V14WFC3,0.112021012,0.261028991
49.44656262,41.33925874,58.35162292,2490.183855,24.68903422,28.96694521,4.277910988,V14WFC3,0.040669101,0.078515516
49.44291417,41.33909057,188.757682,2702.740005,26.23041606,29.42245546,3.192039406,V14WFC3,0.129405888,0.309724772
49.43392725,41.33904314,480.5131109,3241.988285,26.21787143,29.82263292,3.604761498,V14WFC3,0.128192574,0.306284622
49.44050464,41.33886671,283.9240423,2838.306717,26.43771434,31.1633761,4.725661767,V14WFC3,0.151202872,0.372506535
49.42956071,41.33871379,646.822704,3490.938912,26.22728228,28.6348424,2.407560113,V14WFC3,0.129101719,0.308861784
49.44810854,41.33843311,75.03583298,2361.839071,26.02646327,27.56410303,1.537639763,V14WFC3,0.111029683,0.258292395
49.43959338,41.33894256,307.0388639,2896.427071,25.15482592,27.31406336,2.159237435,V14WFC3,0.057699599,0.118868696
49.43998255,41.33833508,343.2990727,2847.063453,22.60868144,25.0376079,2.428926461,V14WFC3,0.008527093,0.012317601
49.43065081,41.33889667,597.2292509,3433.08263,23.38362193,27.15207041,3.768448479,V14WFC3,0.015259195,0.024557241
49.4396477,41.338604,332.4564791,2878.707707,26.00780368,28.89578692,2.887983239,V14WFC3,0.109484758,0.254036629
49.44128373,41.3382622,307.4514569,2765.584308,26.40472674,29.95741869,3.552691949,V14WFC3,0.14750333,0.361724792
49.42330297,41.3381615,891.5837071,3844.304407,23.85057521,25.29026873,1.43969352,V14WFC3,0.021667993,0.037216947
49.4313278,41.33813993,636.2486029,3360.017436,22.05418467,27.41980585,5.365621178,V14WFC3,0.00562294,0.007518197
49.44969521,41.33807978,52.52678151,2251.198546,26.23032069,29.652456,3.422135308,V14WFC3,0.129396621,0.309698474
49.42204667,41.3379343,950.0512625,3910.285651,26.05555415,29.66794664,3.612392495,V14WFC3,0.11348187,0.265069928
49.43673674,41.33787991,483.8124526,3023.133258,26.16033053,30.79467699,4.634346459,V14WFC3,0.122771372,0.290988161
49.44584916,41.33780329,197.9642296,2471.031284,26.31683612,29.20686594,2.890029824,V14WFC3,0.138082339,0.334497433
49.44960546,41.33764664,90.14671185,2238.115455,24.83281779,28.23265307,3.399835274,V14WFC3,0.045306089,0.089238779
49.43997714,41.33771025,393.5945505,2820.723334,26.24564242,29.01116022,2.7655178,V14WFC3,0.130894018,0.313952295
49.44217911,41.33768052,325.4208568,2686.831951,25.12370944,26.34215273,1.218443291,V14WFC3,0.056366985,0.115620647
49.45176088,41.3376183,23.33839702,2107.093704,25.73486018,28.10786287,2.373002694,V14WFC3,0.089194659,0.199230002
49.42968803,41.33864196,648.5065682,3480.205446,26.10995364,28.79593119,2.685977547,V14WFC3,0.118213681,0.278224658
49.44616603,41.33772726,193.9078813,2448.701638,26.5091331,29.24231264,2.733179543,V14WFC3,0.159533457,0.396963022
49.4270619,41.33742723,830.082708,3586.559416,24.91724849,30.00238352,5.085135033,V14WFC3,0.048271621,0.096205792
49.44276486,41.33735167,333.0295764,2637.518072,26.30688929,29.11042048,2.803531182,V14WFC3,0.13705478,0.331548112
49.4324771,41.33722475,672.845398,3251.742343,26.18485141,31.6956341,5.510782693,V14WFC3,0.12505299,0.297411005
49.43988857,41.33721248,436.362644,2804.815162,26.27721286,28.65992853,2.382715676,V14WFC3,0.134034265,0.322902416
49.44040605,41.33720012,420.7723609,2773.119655,25.85901713,31.67513483,5.816117699,V14WFC3,0.097910674,0.22251724
49.44573239,41.33719258,250.6940968,2451.997935,26.22813678,31.22670015,4.998563378,V14WFC3,0.129184586,0.309096858
49.44322065,41.33717917,332.2608709,2602.703927,26.26033091,28.46775049,2.207419579,V14WFC3,0.132345794,0.318085152
49.43450494,41.33713297,615.2383119,3125.68395,25.79455828,28.20397471,2.409416421,V14WFC3,0.09328421,0.210106148
49.45096828,41.33702175,96.59140991,2129.363689,26.07278323,29.00056093,2.927777703,V14WFC3,0.114959638,0.269167481
49.44853374,41.33694346,180.8988255,2272.64581,26.23629069,29.14364237,2.907351678,V14WFC3,0.129978023,0.311349047
49.44115078,41.33685873,424.2936386,2713.694708,26.4625957,29.0356814,2.573085702,V14WFC3,0.154054566,0.380850915
49.43711325,41.33682923,556.0333319,2955.619135,26.16316485,27.47389696,1.31073211,V14WFC3,0.123032957,0.291723417
49.4238716,41.33676888,985.0936064,3750.640855,26.2784431,28.53572634,2.257283242,V14WFC3,0.134158148,0.323256304
49.44401408,41.33676122,340.3614066,2537.078358,26.06563449,28.8718384,2.806203911,V14WFC3,0.114344156,0.267459679
49.42394116,41.33671988,986.7960314,3744.361123,26.33147692,27.59967325,1.268196328,V14WFC3,0.139608843,0.338886359
49.4314247,41.3366778,750.4384836,3291.794022,26.05577159,28.33285914,2.277087548,V14WFC3,0.113500401,0.26512125
49.41761342,41.33664296,1195.644613,4122.247613,26.08686518,30.47288012,4.386014931,V14WFC3,0.116181752,0.272563558
49.4336294,41.33658562,687.1987748,3155.063661,26.35617327,29.81625116,3.460077889,V14WFC3,0.142222113,0.346420556
49.43255418,41.33648618,729.6247985,3215.584456,25.82999873,28.5693844,2.739385674,V14WFC3,0.095800174,0.216841722
49.42384561,41.33634664,1019.80046,3734.193384,26.17621875,27.98589281,1.809674065,V14WFC3,0.124244942,0.295133809
49.4461405,41.33634522,305.5855736,2391.251137,26.30468058,32.15538889,5.850708306,V14WFC3,0.136827648,0.330896746
49.43762546,41.33624866,586.1937964,2899.992789,26.13864398,29.80961527,3.670971291,V14WFC3,0.120788195,0.285423402
49.441095,41.33622237,477.1285325,2689.895974,26.21613574,30.97577082,4.759635079,V14WFC3,0.128025597,0.305811658
49.44769698,41.33610152,275.2508156,2287.104715,26.43951678,29.67407648,3.234559701,V14WFC3,0.151407668,0.373104823
49.44246268,41.3360579,446.4941023,2600.501201,26.49435687,28.97933321,2.484976342,V14WFC3,0.157773049,0.391774703
49.441158,41.33596434,495.8076338,2675.089733,26.014611,29.17473696,3.160125954,V14WFC3,0.110045866,0.255581017
49.42110285,41.33570265,1159.319877,3871.937519,22.94241977,25.98327738,3.040857613,V14WFC3,0.010955767,0.016579668
49.45452466,41.33558311,97.99632692,1853.763695,26.1303966,29.0300841,2.899687493,V14WFC3,0.120042432,0.283335171
49.45549022,41.33549111,74.42513095,1791.684213,26.20357775,30.37674784,4.173170083,V14WFC3,0.126823953,0.302411377
49.43102216,41.33541029,865.0165515,3261.957808,26.05011248,29.03845804,2.988345559,V14WFC3,0.113019088,0.263788757
49.44880503,41.33529098,304.7546343,2185.771531,26.11231112,30.22214769,4.109836571,V14WFC3,0.118423143,0.278809269
49.44673086,41.33525862,373.8260277,2309.315447,26.41882205,31.00323626,4.584414208,V14WFC3,0.149072905,0.366293017
49.45654222,41.33520048,64.01516124,1715.918805,26.48165583,31.11252199,4.630866158,V14WFC3,0.156275408,0.387369268
49.45362798,41.33516031,160.6509902,1889.718058,25.69236445,27.20624834,1.513883889,V14WFC3,0.086393238,0.191832648
49.43694533,41.33585774,639.3459491,2924.276174,26.21100116,32.07730555,5.866304391,V14WFC3,0.127532911,0.304416789
49.43497007,41.33512437,761.4654939,3011.957572,26.25823283,29.06497438,2.806741555,V14WFC3,0.132137443,0.317491507
49.43519582,41.33506587,758.9257866,2995.863091,26.49871516,30.07744188,3.578726723,V14WFC3,0.158290257,0.393297922
49.45367079,41.3348911,180.8727127,1875.647547,25.64511752,29.71104876,4.065931237,V14WFC3,0.083381779,0.183930229
49.44879488,41.33480636,343.9527552,2165.69684,26.01195979,30.41078524,4.398825448,V14WFC3,0.109826993,0.254978419
49.44638371,41.33475179,425.6066352,2308.591085,25.93410945,31.57322519,5.639115746,V14WFC3,0.103590477,0.237903213
49.44790619,41.33461016,388.1734587,2210.847569,26.16139865,29.70989786,3.548499215,V14WFC3,0.122869885,0.291265025
49.45209581,41.33460399,254.3851571,1958.248681,26.38648867,31.13040377,4.743915093,V14WFC3,0.14549694,0.355898364
49.44072125,41.33453869,624.1649072,2640.552738,25.60122943,27.44991251,1.848683083,V14WFC3,0.080678529,0.176881533
49.44287164,41.33454672,554.610122,2511.373173,26.41277385,31.42508806,5.012314217,V14WFC3,0.148397375,0.364325797
49.44576632,41.33451248,464.5889864,2335.562678,25.72695422,27.01123781,1.284283593,V14WFC3,0.088666687,0.197832513
49.44648762,41.33448433,443.7311054,2290.91693,26.34674144,29.09023134,2.743489907,V14WFC3,0.141218349,0.343523584
49.43240336,41.3344751,895.7877987,3138.857071,26.34329676,31.05592234,4.712625573,V14WFC3,0.140853526,0.342471609
49.43486579,41.33445422,818.5662533,2989.642154,24.8196361,26.25513025,1.435494149,V14WFC3,0.044859832,0.088197552
49.45159728,41.33447776,280.489623,1982.88593,26.17678523,31.68135294,5.504567711,V14WFC3,0.124297807,0.295282705
49.45207289,41.33446946,265.9111168,1953.886078,26.14833331,31.45409243,5.305759118,V14WFC3,0.121670268,0.287896405
49.45856155,41.33441792,62.05043102,1560.893202,26.06143451,27.27085291,1.209418404,V14WFC3,0.11398409,0.26646138
49.42186641,41.33462624,1221.218573,3780.023213,26.34192538,28.40512819,2.063202813,V14WFC3,0.140708545,0.342053697
49.43129287,41.3343144,944.2580263,3198.891255,26.13373065,29.12565828,2.991927636,V14WFC3,0.120343355,0.284177504
49.44567032,41.33430836,484.03987,2332.632599,26.52443194,30.10721644,3.582784493,V14WFC3,0.161376828,0.402407252
49.43960721,41.3342774,680.8237478,2696.502688,25.41402507,30.99281412,5.578789055,V14WFC3,0.070097928,0.149725041
49.42351483,41.33425586,1198.129888,3664.923196,26.09236598,28.93153208,2.8391661,V14WFC3,0.116662664,0.273901766
49.44370251,41.33422929,553.4461215,2447.780845,25.31247783,30.94746721,5.634989388,V14WFC3,0.064951274,0.136781772
49.44374566,41.3341912,555.1189543,2443.556448,26.01898646,29.5176021,3.498615639,V14WFC3,0.110408039,0.256578636
49.42109736,41.33427739,1273.839286,3811.468216,25.82077861,29.7407828,3.920004189,V14WFC3,0.095139167,0.215068902
49.45037385,41.33412501,347.997501,2041.513253,26.3368175,30.45326952,4.116452019,V14WFC3,0.140169862,0.340501616
49.44183291,41.3340748,625.7525079,2553.797207,22.90477252,25.75309404,2.848321526,V14WFC3,0.010650375,0.016033134
49.44800308,41.33411992,424.391724,2184.086119,26.51708293,32.51324259,5.996159661,V14WFC3,0.160488695,0.399782783
49.45108468,41.33404416,331.6994922,1995.249326,26.14913821,31.05516718,4.906028969,V14WFC3,0.121743832,0.288102801
49.43513754,41.33405127,842.183992,2956.078636,26.11361956,30.26390108,4.150281518,V14WFC3,0.118539558,0.279134267
49.44416496,41.33399056,557.7754341,2409.737631,26.21690631,29.82304178,3.606135476,V14WFC3,0.128099701,0.306021543
49.4378447,41.33398112,761.0679756,2790.021334,26.10093379,31.20555674,5.104622948,V14WFC3,0.117415681,0.275999203
49.45443493,41.33396977,230.2790318,1790.294172,25.85100436,28.93904406,3.088039696,V14WFC3,0.097323304,0.220935391
49.45164091,41.33394131,322.1206391,1957.358002,26.49656367,29.96598948,3.469425805,V14WFC3,0.158034723,0.39254524
49.42871474,41.33391892,1058.581918,3337.315555,25.02041888,27.92610674,2.905687859,V14WFC3,0.05216014,0.105461775
49.45487683,41.33383415,226.9925457,1757.88987,26.4179542,30.51398462,4.096030419,V14WFC3,0.148975786,0.366010093
49.45535825,41.33376603,217.0241113,1725.987038,26.30717349,29.18346575,2.87629226,V14WFC3,0.137084032,0.331632016
49.42546222,41.33372659,1178.20776,3525.035052,26.29935336,30.0449531,3.74559974,V14WFC3,0.136281373,0.329330967
49.43900539,41.33367795,748.1947735,2707.171026,26.22166323,32.2080723,5.986409066,V14WFC3,0.128558113,0.307320412
49.43870735,41.33354573,768.3516367,2719.480069,26.34314608,28.83504763,2.491901543,V14WFC3,0.140837589,0.342425666
49.42683886,41.33341795,1158.867816,3428.940231,25.70045924,30.79407045,5.093611214,V14WFC3,0.086919996,0.193220236
49.41558992,41.33335868,1523.947277,4104.054071,26.25453067,29.71453333,3.460002663,V14WFC3,0.131770597,0.316446693
49.43979467,41.33335379,748.9060488,2645.795415,26.60072398,29.01390833,2.41318435,V14WFC3,0.170892195,0.43069155
49.43917491,41.33333513,770.2627494,2682.329765,26.45253634,29.89386087,3.441324532,V14WFC3,0.152895227,0.377455066
49.41569423,41.33327042,1527.687463,4094.005751,26.47828364,29.79516031,3.316876671,V14WFC3,0.15588017,0.386207947
49.44479753,41.3331693,603.3804126,2336.584915,26.2689445,29.48948565,3.220541146,V14WFC3,0.133204619,0.320533992
49.42551795,41.33306533,1229.472143,3493.465971,25.95461726,27.52138491,1.566767647,V14WFC3,0.105198131,0.242287079
49.46018381,41.33357327,77.79108424,1427.129434,26.51096225,28.654004,2.143041756,V14WFC3,0.159752739,0.397610044
49.45133924,41.33305748,402.6838526,1937.799395,26.33016085,31.50683245,5.176671593,V14WFC3,0.139470937,0.338489491
