x,y,RA,DEC,F475W,F814W
3757.1,3362.45,49.2617685,41.2439091,24.846,22.049
3985.1,1056.56,49.2619869,41.2184083,25.181,22.021
3839.71,2205.6,49.2623405,41.2311522,25.574,22.117
2797.95,2286.97,49.2773773,41.2332433,26.669,22.277
2715.19,633.81,49.2811121,41.2152445,24.687,22.285
1198.07,2945.13,49.2996574,41.2422871,25.97,22.318
1166.86,2922.55,49.3001462,41.2420758,25.083,22.299
2208.19,1549.69,49.2870885,41.2258524,25.064,22.339
2771.62,3273.4,49.2762499,41.2440703,25.42,22.321
1147.84,768.05,49.303713,41.2185156,24.112,22.653
1567.83,3736.88,49.2930647,41.2505282,24.39,22.505
783.4,3148.96,49.3053824,41.2449943,24.992,22.358
375.08,2432.38,49.3124197,41.2376195,25.171,22.418
2623.35,222.35,49.2830778,41.2108467,25.204,22.449
2002.6,1571.97,49.2900464,41.2263327,24.974,22.482
1164.53,3507.21,49.299287,41.2484778,25.134,22.514
3895.55,3921.91,49.2588947,41.2498726,25.505,22.569
2862.52,1247.35,49.2780293,41.2217902,27.528,22.797
1507.57,1089.88,49.2979869,41.221625,25.554,22.603
894.09,2180.93,49.3052491,41.2342716,24.642,22.78
694.62,3394.27,49.3063003,41.2477812,25.935,22.641
837.04,2587.95,49.3054581,41.2387922,23.971,23.536
2350.63,3562.3,49.2819359,41.247717,28.062,23.01
3653.46,1893.94,49.2655289,41.2279558,25.43,22.81
3901.55,2372.44,49.2611846,41.2329069,25.608,22.817
3006.7,293.07,49.2773921,41.2111794,26.383,22.876
1712.68,1142.38,49.294922,41.221964,25.787,22.921
3832.19,2729.2,49.2616469,41.2368916,24.491,23.271
4093.91,3193.59,49.257125,41.2416724,27.104,23.084
1681.47,1739.61,49.2944635,41.2285367,25.966,22.972
1085.68,3513.41,49.3004254,41.2486363,25.926,23.029
462.06,1771.98,49.312161,41.2302912,26.972,23.174
2224.66,1501.3,49.2869229,41.2253038,26.493,23.178
4091.07,1484.28,49.2597889,41.2229674,26.01,23.204
209.16,1054.88,49.316935,41.2227321,26.246,23.206
276.02,2230.12,49.31417,41.2355192,27.618,23.404
366.68,1615.8,49.3137874,41.2286911,24.55,24.219
2782.46,1223.09,49.2792314,41.2216168,26.518,23.276
38.34,578.7,49.3201464,41.2177158,26.725,23.32
148.83,107.62,49.3192565,41.2124329,26.998,23.419
2476.72,405.81,49.2849306,41.2130234,26.788,23.444
3196.27,574.92,49.2742025,41.214046,27.084,23.496
249.13,3298.82,49.3129314,41.2472476,26.55,23.532
121.13,4006.34,49.3137155,41.2551387,26.431,23.494
338.78,1248.09,49.3147541,41.2246983,25.164,24.898
3183.7,3282.15,49.2702381,41.2436913,25.402,24.288
1836.96,3900.26,49.2888967,41.252007,25.549,24.17
2619.63,985.85,49.2819638,41.2192076,25.931,24.694
3116.74,3307.93,49.2711733,41.2440506,27.843,24.544
2807.05,258.97,49.2803491,41.211036,25.916,25.052
270.51,551.21,49.3168099,41.2171488,26.375,24.693
2076.09,1152.9,49.2896176,41.2216613,27.967,24.663
1716.92,2440.08,49.292877,41.2361629,26.247,24.964
1755.38,497.88,49.2952853,41.2148606,28.236,24.795
2896.16,2431.39,49.2757268,41.2347109,28.29,24.818
783.7,1783.36,49.3074625,41.2300467,27.465,24.813
535.6,1045.99,49.3121981,41.2222604,28.245,24.98
3965.23,1140.97,49.2621466,41.2193551,26.375,25.221
680.84,743.16,49.3105464,41.2187792,26.713,25.184
47.23,3622.56,49.3153769,41.2510227,26.51,25.358
1023.35,3849.17,49.3008199,41.2523829,26.262,26.081
1695.67,1210.27,49.2950658,41.2227266,27.619,25.213
1531.66,254.98,49.2989115,41.212459,26.401,25.904
3410.04,3810.06,49.266134,41.2492084,26.734,25.441
3649.18,995.49,49.2669683,41.2181272,26.415,26.059
140.75,3829.01,49.3137004,41.2531752,26.639,25.664
1677.75,489.78,49.2964273,41.2148611,26.771,26.087
398.95,2825.51,49.3114725,41.2418951,26.686,25.885
1516.85,190.8,49.299225,41.2117735,26.856,25.601
575.43,3303.45,49.3081741,41.246924,26.852,25.709
3028.61,902.97,49.2761397,41.2178296,26.91,25.915
2268.07,1031.79,49.2870092,41.2201149,27.283,25.574
1732.58,694.55,49.2953166,41.2170394,27.282,25.678
2844.92,4035.08,49.2740161,41.2523225,26.941,25.748
2472.3,1228.48,49.2837365,41.2220328,26.739,26.293
1676.66,1860.1,49.2943494,41.2298611,26.799,26.288
3487.61,3729.5,49.2651284,41.2482372,26.921,25.82
275.42,851.19,49.3162812,41.2204266,26.811,27.001
276.9,144.44,49.3173369,41.2126891,26.802,26.103
3283.48,4286.02,49.2672467,41.2545637,26.798,26.262
3813.17,4323.77,49.2594772,41.254366,27.51,25.741
1717.09,4035.75,49.2904346,41.2536278,26.858,26.342
1663.87,3095.5,49.2926472,41.2433977,26.861,26.401
3852.84,2856.39,49.2611512,41.2382599,26.978,26.486
3960.3,1560.92,49.2615743,41.2239571,26.901,26.911
2459.91,1898.1,49.2828923,41.2293762,26.884,26.642
2996.99,1540.01,49.2756244,41.2248385,26.981,26.693
3356.43,3908.53,49.2667635,41.250348,27.244,25.888
2824.61,516.86,49.279699,41.2138385,27.016,26.414
382.32,2672.45,49.3119481,41.2402389,27.221,26.361
2468.28,3122.08,49.2808972,41.2427633,27.512,25.957
2117.21,1878.12,49.2879103,41.2295518,27.286,26.306
2866.94,1604.75,49.2774178,41.2256969,27.384,26.292
3852.59,2910.07,49.2610725,41.2388477,27.442,26.798
2591.63,517.09,49.2830884,41.2141092,27.58,26.548
3843.6,3907.04,49.2596737,41.2497698,27.388,26.57
1088.77,297.6,49.3052905,41.2134341,27.906,27.058
3555.41,4312.01,49.2632479,41.2545346,28.162,26.68
3452.21,3759.62,49.2655975,41.2486077,27.569,26.384
1676.15,489.81,49.2964505,41.2148633,27.216,26.789
3383.3,3544.09,49.2669311,41.2463282,27.778,26.609
1536.24,238.24,49.2988704,41.2122705,27.41,27.009
3109.63,3639.51,49.2707687,41.247688,28.191,26.618
2496.8,2000.06,49.2821994,41.2304497,27.407,26.797
1203.83,3430.77,49.2988316,41.247596,27.394,26.925
2807.55,836.74,49.2794576,41.2173593,28.284,26.512
3492.97,3731.91,49.2650466,41.2482574,27.763,26.655
2636.33,2085.57,49.2800378,41.231225,28.211,27.078
3316.07,507.01,49.2725634,41.2131647,28.114,26.852
1030.7,3508.48,49.3012333,41.2486454,28.025,26.505
348.16,3268.5,49.311536,41.2468022,28.027,26.768
3179.21,1865.36,49.2724744,41.2281896,28.13,26.957
768.73,2561.04,49.3064935,41.238576,28.199,26.905
3728.21,247.44,49.2669648,41.2098487,28.18,26.807
