x,y,RA,DEC,F814W,F475W
1360.903,1081.462,49.7226381,41.2663615,25.149,26.536
1093.378,1086.084,49.7177256,41.2667803,25.18,26.702
3970.847,3161.262,49.765443,41.2330044,25.181,26.693
406.537,3427.717,49.6995334,41.2357697,24.984,26.449
2873.295,1742.535,49.7487561,41.2545267,25.175,26.493
4027.342,1863.16,49.7696038,41.2507774,25.106,27.013
1446.992,2340.519,49.7211944,41.2488674,24.825,25.986
1359.39,496,49.7240888,41.2745016,21.994,24.987
3611.68,2389.75,49.7607963,41.2443534,22.06,25.372
1537.07,1396.75,49.7251822,41.2617766,22.016,24.097
3599.69,3354.07,49.7582562,41.231096,22.04,24.726
1563.39,4053.6,49.7192911,41.225141,22.2,26.002
3246.48,2133.05,49.7547255,41.2485491,22.095,24.85
1526.56,3234.5,49.7205808,41.2364875,22.284,25.951
2286.26,3158.05,49.7346764,41.2361694,22.209,25.304
1730.64,1425.03,49.7286605,41.2610379,22.204,25.408
2002.93,2977.23,49.7299219,41.2391709,22.304,25.75
3619.94,278.07,49.7660326,41.2734172,22.321,25.357
2878.17,76.08,49.7529276,41.277541,22.251,25.414
3479.13,1301.82,49.7609874,41.2595746,22.602,27.388
2578.93,2857.9,49.740757,41.2397741,22.409,26.012
1564.29,878.66,49.7269246,41.2688622,22.362,25.686
620.64,1654.65,49.7077748,41.2598771,22.404,25.336
1669.12,3980.37,49.7214026,41.2259588,22.549,26.422
3672.33,1601.82,49.7638041,41.2550938,22.569,25.951
1838.8,3780.87,49.724988,41.2284001,22.417,25.362
1222.9,3260.6,49.7149572,41.2366755,22.425,24.949
1373.26,1482.11,49.7219764,41.2608966,22.513,25.724
3825.99,709.46,49.7687683,41.2671037,22.653,26.614
2676.71,1003.3,49.7470059,41.2651368,22.525,25.837
2806.39,498.78,49.7505953,41.2718499,22.717,26.758
3954,1356.13,49.7695553,41.257967,22.537,25.346
1764.24,2424.53,49.7268769,41.247213,22.604,25.695
554.81,2029.19,49.7056714,41.2548377,22.567,25.545
2852.44,2470.82,49.7466963,41.2446103,22.632,25.806
1396.9,1527.54,49.7223005,41.2602284,22.706,25.916
447.33,3188.8,49.7009256,41.2390614,22.838,26.546
3665.77,1494.83,49.7639415,41.256579,22.766,26.242
3745.13,3241.21,49.7611909,41.2323869,22.699,25.664
1553.21,3580.74,49.7202385,41.2316712,23.108,23.444
2968.45,2410.33,49.7489664,41.2452336,22.789,26.158
2442.57,2905.14,49.7381463,41.2393699,22.749,26.005
2684.03,1466.2,49.7460269,41.2587491,22.738,25.766
2361.92,3403.08,49.7354736,41.2326584,22.743,25.714
2520.16,3557.9,49.7379994,41.2302406,22.78,26.071
3738.31,554.48,49.7675354,41.2693966,22.814,25.612
2413.27,916.72,49.7423877,41.2668052,22.891,24.251
2615.02,3487.97,49.7399043,41.2310323,22.963,26.347
605.24,631.53,49.7099449,41.2739948,22.97,26.413
3752.89,909.47,49.7669473,41.2644819,23.02,25.392
112.65,758.54,49.7006144,41.2731328,23.119,24.56
2179.36,3987.54,49.7307278,41.2249394,23.207,25.577
687.72,2429.5,49.707147,41.2490854,23.356,26.943
1205.53,2453.26,49.7165746,41.247825,23.437,26.564
4012.55,2393.37,49.7681291,41.2435779,23.376,26.379
1187.21,1227.82,49.719178,41.264734,23.443,27.149
731.91,1082.33,49.7111851,41.2675584,23.47,24.876
4186.25,3463.77,49.768732,41.2285236,23.512,24.801
2429.67,2604.48,49.7386323,41.2435336,23.563,24.806
1992.8,3598.06,49.7282465,41.2306397,23.713,27.117
617.04,2476.5,49.7057398,41.2485654,23.653,24.961
3660.11,1654.3,49.7634539,41.2543933,23.775,26.589
951.35,1216.04,49.714885,41.2653215,23.714,25.058
3216.1,3694.7,49.7504134,41.2270991,23.747,25.073
3508.66,752.12,49.762852,41.2670908,23.727,25.294
3721.64,2857.57,49.761684,41.2377123,23.808,25.201
3900,3668.19,49.7629989,41.2262269,24.018,27.322
1071.72,1194.67,49.7171416,41.2653988,23.865,25.19
1151.42,3844.72,49.7122484,41.2287602,23.957,26.953
2118.09,1038.82,49.7366863,41.265657,24.197,27.828
1293.35,1424.1,49.7206517,41.2618396,24.065,25.221
3765.14,3544.91,49.7608264,41.2281686,24.275,27.727
4007.83,3046.44,49.76647,41.2345934,24.161,25.181
1026.13,1050.9,49.7166512,41.2674609,24.099,25.547
262.99,3427.63,49.696978,41.2361041,24.268,27.13
4025.21,3225.7,49.7663566,41.2320935,24.087,25.418
4065.72,3482.21,49.7664808,41.2284879,24.205,25.73
506.22,697.51,49.7079723,41.2732645,24.214,25.501
3590.55,994.28,49.763769,41.2636079,24.254,25.567
2828.48,524.11,49.7509391,41.2714612,24.325,25.845
3936.58,3236.68,49.7647073,41.2321028,24.311,25.825
4070.37,1530.73,49.7712662,41.255352,24.384,26.336
1283.33,3560.01,49.7153462,41.2324433,24.469,25.748
3696.59,3179.05,49.7604516,41.2333307,24.478,25.685
1634.77,1650.74,49.7263625,41.2581026,24.525,25.897
3433.83,718.05,49.7615631,41.2676954,24.518,25.984
3847.24,1234.38,49.767893,41.2598369,24.663,25.732
178.19,3329.9,49.6956588,41.2376027,24.724,25.443
3048.62,540.15,49.7549339,41.2708422,24.591,25.854
1494.77,963.85,49.7254463,41.2678145,24.888,25.337
2138.87,622.56,49.7380672,41.2713517,24.66,25.935
1931.78,684.99,49.7341228,41.270866,24.619,26.116
1332.55,3190.03,49.7171345,41.2374497,24.716,26.146
2682.93,2005.5,49.7447102,41.2513245,24.698,26.565
492.5,653.63,49.7078261,41.2738935,24.85,25.864
4116.23,3066.06,49.7684077,41.234127,24.662,26.221
3487.59,617.9,49.7627892,41.2689772,24.805,26.368
3684.97,1526.52,49.7642169,41.2561078,25.138,25.408
471.91,3582.91,49.7004323,41.2335896,24.744,26.253
3217.07,2744.19,49.7527168,41.2401865,24.789,26.228
2916.29,118.68,49.7535236,41.2768854,25.238,25.388
3927.87,3230.65,49.7645624,41.2322016,24.762,26.201
2906.95,2869.39,49.7467365,41.2390231,24.838,25.962
2634.53,2797.99,49.7419192,41.2404987,24.835,26.492
3892.12,3433.56,49.7634193,41.2294721,24.898,26.644
3502.4,2950.07,49.7574467,41.2368353,24.866,26.53
1153.95,1406.26,49.7181406,41.2623367,24.862,26.331
2618.01,3794.29,49.7392233,41.2268086,25.158,25.617
2194.61,1297.14,49.7374675,41.2619614,25.148,25.815
719.73,967.69,49.7112368,41.2691591,25.161,25.814
4057.36,3102.58,49.7672418,41.2337307,24.895,26.6
3920.11,3130.06,49.7646624,41.2336008,24.961,26.375
3926.62,3173.6,49.7646768,41.2329894,24.989,26.311
3784.96,2966.36,49.7625817,41.2360996,24.938,26.562
4069.02,3263.89,49.7670669,41.2314883,25.011,26.911
3734.99,2716.46,49.7622682,41.2396313,25.014,26.447
4126.78,3077.9,49.7685723,41.2339448,24.948,26.353
450.31,3594.52,49.7000089,41.2334686,25.002,26.51
476.15,3589.27,49.7004947,41.2334944,25.045,26.331
3698.24,3079.52,49.7607214,41.2346983,25.066,26.322
2602.08,1622.43,49.7441501,41.2567458,25.122,26.376
3697.08,2028.67,49.7632296,41.2491711,25.098,26.338
2974.78,2547.83,49.7487518,41.2433286,25.109,27.047
2089.12,1482.16,49.7350905,41.259604,25.082,26.685
2304.43,553.23,49.7412673,41.2720074,25.255,26.045
1621.57,3606.21,49.7214292,41.2311972,25.082,26.782
3942.23,3083.83,49.7651788,41.2341973,25.126,26.773
1054.22,1039.16,49.717194,41.2675719,25.188,26.472
2098.72,649.77,49.7372662,41.2710495,25.171,26.678
3678.76,3488.4,49.7593808,41.2291031,25.199,26.318
4032.32,3238.36,49.7664563,41.2319063,25.124,26.552
4000.44,3189.88,49.7659893,41.2326316,25.15,26.696
987.2,989.94,49.7160841,41.2683706,25.177,26.928
3045.65,2864.46,49.7492884,41.2388403,25.194,26.66
336.42,2712.88,49.7000337,41.2458153,25.171,26.864
2075.34,1484.3,49.7348329,41.2595995,25.17,26.519
1340.8,1736.67,49.720771,41.2574495,25.368,26.103
4068.75,3466.14,49.766575,41.2287037,25.218,26.806
2525.35,1311.9,49.743491,41.2611607,25.23,27.195
2553.24,519.24,49.7459078,41.2720258,25.244,26.934
2049.56,4088.07,49.72811,41.2237893,25.22,26.817
2287.87,1736.41,49.7381205,41.2557438,25.302,26.833
1297.58,1302.77,49.7210202,41.2635029,25.294,26.567
322.79,367.7,49.7054015,41.2781369,25.503,26.006
3698.93,3792.21,49.7590191,41.224883,25.275,26.691
2547.33,2258.18,49.7416193,41.2480899,25.304,26.609
1278.79,310.12,49.723058,41.2772068,25.477,26.307
4158.36,3802.84,49.767405,41.223905,25.368,26.485
3163.26,3476.02,49.7499717,41.230206,25.408,26.306
2261.78,962.95,49.7395011,41.2664422,25.337,26.485
1120.97,888.51,49.7187784,41.2695262,25.34,26.633
2141.55,4116.08,49.7297271,41.2232375,25.43,26.215
1253.84,3892.6,49.7140091,41.2279162,25.344,26.965
881.01,1173.41,49.7136985,41.2660354,25.412,27.331
2591.41,3351.26,49.7398003,41.2329576,25.417,26.665
1493.85,2660.28,49.7213589,41.2444542,25.562,26.242
4112.22,3377.5,49.7675843,41.2298456,25.376,27.078
4072.07,3096.88,49.7675248,41.2337825,25.398,26.512
3000.34,2486.32,49.7493678,41.2441295,25.636,27.411
3796.07,3599.6,49.7612611,41.2273595,25.47,27.004
1016.95,3350.35,49.7109705,41.2358107,25.608,26.311
4057.73,3096.44,49.7672633,41.2338146,25.403,26.92
854.92,1941.26,49.7113797,41.2555079,25.518,26.547
2300.95,3490.34,49.7341476,41.2315669,25.662,26.241
674.71,3627.86,49.7040385,41.2326054,25.485,27.143
706.77,3027.08,49.7060644,41.2408214,25.592,26.425
2091.52,2933.34,49.7316497,41.2396154,25.558,26.533
1799.61,663.91,49.7317518,41.2713949,25.545,27.027
4053.62,3134.34,49.7670968,41.2333001,25.532,26.521
4073.64,3278.2,49.767117,41.2312829,25.575,27.221
2045.31,994.6,49.7354591,41.2663973,25.788,26.299
2021.52,3545.53,49.7288984,41.2313113,25.736,26.434
1145.2,994.32,49.7189685,41.2680254,25.54,26.894
1441.02,4010.26,49.7171544,41.2259584,25.631,26.898
3245.69,4008.81,49.7502001,41.2227201,25.634,27.168
2368.56,3785.71,49.7346765,41.2273772,25.834,26.549
499.79,3579.16,49.7009518,41.2335911,25.707,27.125
1071.24,136.54,49.7196713,41.2799715,25.822,26.992
2452.41,3651.74,49.7365335,41.2290707,25.67,26.691
3672.17,2123.24,49.7625457,41.2479139,25.757,27.374
1206.85,1547.02,49.7187721,41.2603028,25.776,26.817
3806.69,3768.68,49.7610487,41.225012,25.695,26.857
3628.29,2045.6,49.7619289,41.2490625,25.748,27.904
1533.26,1238.59,49.7254921,41.2639616,27.072,27.159
3171.49,285.65,49.7577977,41.2741245,25.691,27.094
4083.42,2797.42,49.7684538,41.2378856,25.77,27.741
3396.89,1367.51,49.7593228,41.2588189,25.797,27.114
960,893.22,49.7158177,41.2697516,25.777,27.798
1344.03,3662.93,49.716211,41.2309165,25.736,27.06
2897.81,2347.3,49.7478242,41.2462292,25.758,27.543
1962.65,2846.98,49.7294969,41.2410373,26.102,27.66
253.85,266.46,49.7043808,41.2796553,25.759,27.478
1000.18,493.57,49.7175126,41.2751829,25.877,27.076
557.54,688.19,49.708935,41.2733004,25.915,26.621
3872.87,3429.62,49.7630764,41.2295612,25.778,27.03
1556.48,784.7,49.727007,41.2701703,25.796,27.09
4169.4,3817.38,49.7675721,41.2236848,25.885,27.17
3259.63,2924.52,49.7530625,41.2376263,25.829,27.46
1174.99,1116.32,49.7192216,41.2662916,25.814,27.437
4002.61,3085.7,49.7662799,41.2340623,26.088,26.888
606.85,2282.07,49.7060189,41.2512614,26.117,26.493
2050.43,3298.4,49.7300209,41.2346623,26.159,26.482
1235.05,2443.98,49.7171375,41.2478996,25.96,27.231
3706.5,1497,49.7646824,41.2564754,26.008,27.527
2567.94,3223.31,49.7396779,41.2347619,26.52,26.32
3380.72,3915.55,49.7528965,41.2237602,25.962,26.886
1584.28,3508.68,49.7209802,41.2326076,25.969,27.354
3949.48,4152.74,49.7627387,41.2194649,25.907,27.477
2665.82,483.87,49.7480556,41.2723094,26.034,27.703
1062.06,3653.75,49.7110697,41.2315511,26.505,26.451
1275.9,1104.4,49.721099,41.2662738,25.986,27.236
4013.94,764.75,49.7720784,41.2660019,26.027,27.036
427.12,3146.32,49.7006572,41.2396828,26.026,26.859
2277.33,149.43,49.7417415,41.277617,26.024,27.015
328.67,299.56,49.7056725,41.2790647,25.97,27.672
3253.21,2882.29,49.7530465,41.2382194,26.1,27.041
1901.66,270.3,49.7345672,41.2766311,26.044,27.716
2195.01,2999.79,49.7333854,41.2385135,26.528,27.547
2905.35,346.81,49.7527741,41.2737637,26.115,27.852
754.52,3470.95,49.7058758,41.2346226,26.25,27.847
1768.19,3377.27,49.7246632,41.2340855,26.175,27.828
3520.97,3836.41,49.7556546,41.2245963,26.098,27.843
2971.18,3524.79,49.7463374,41.2298817,26.158,27.688
3782.19,1027.66,49.7671993,41.2628013,26.257,27.318
3070.97,651.4,49.7550756,41.2692698,26.933,27.877
1886.69,812.04,49.7329915,41.2691978,26.136,27.312
3223.22,690.05,49.757772,41.2684621,26.309,27.521
1414.32,3592.6,49.7176667,41.2317583,26.203,27.428
649.45,2386.22,49.7065497,41.2497503,26.203,27.861
1902.63,3443.05,49.7269673,41.2329371,26.215,27.122
2720.49,1528.09,49.746546,41.2578309,26.993,27.531
920.28,3805.88,49.708109,41.2297115,26.2,27.396
3683.31,835.54,49.7658507,41.2656259,26.358,27.362
2158.88,3022.72,49.7326687,41.238263,26.348,27.89
4080.3,3239.4,49.7673324,41.2318051,26.354,27.153
1384.55,3420.19,49.7175349,41.2341863,26.417,27.323
3877.96,2419.77,49.7656007,41.243458,26.712,27.772
3101,200.51,49.7567111,41.2754245,26.462,27.09
2680.39,264.41,49.7488505,41.2753052,26.508,27.116
1050.23,1025.62,49.7171533,41.2677656,26.28,27.473
2246.26,2207.38,49.7362269,41.2493333,27.385,27.267
2143.54,4076.02,49.7298596,41.2237856,26.549,26.963
3898.25,556.75,49.7704602,41.2690757,26.526,27.283
848.17,383.06,49.7149922,41.2769788,26.378,27.27
462.66,3250.5,49.7010587,41.2381841,26.819,26.979
3624.57,2858.1,49.7599052,41.2378807,26.403,27.838
3584.6,3872.52,49.7567327,41.2239839,26.451,27.386
2454.38,2221.09,49.7400059,41.2487686,26.513,27.263
1735.33,2204.14,49.7268763,41.2503002,26.389,27.702
1851.46,1870.41,49.7298046,41.2546865,26.367,27.833
3686.91,3789.61,49.7588053,41.2249405,26.44,27.382
1731.24,3810.59,49.7229472,41.2281848,27.11,27.047
1778.65,712.56,49.7312509,41.2707628,26.65,27.143
2503.45,1335.17,49.7430339,41.2608798,26.477,27.902
3004.29,1125.63,49.7527129,41.2628599,26.673,27.991
3170.42,3213.78,49.7507333,41.2338043,27.243,27.053
415.4,1098.54,49.7053471,41.2679053,26.654,27.44
3580.82,1808.07,49.7616313,41.2524193,26.663,27.914
3748.21,3482.76,49.760666,41.2290551,27.129,27.545
3208.3,1419.89,49.7557421,41.2584388,26.573,27.964
43.72,418.8,49.7001651,41.2779357,26.959,27.046
397.06,2909.65,49.7006733,41.2429963,26.835,27.523
3160.26,3764.24,49.7492239,41.2262425,26.863,27.138
983.2,3517,49.7099532,41.2335765,26.824,27.451
4049.95,1422.26,49.7711535,41.2568826,26.665,27.92
2116.56,3707.52,49.7302499,41.2289089,26.598,27.757
1299.35,978.25,49.7218313,41.2679687,27.221,27.35
4145.88,3721.83,49.7673715,41.2250431,26.888,27.505
3962.66,3370.16,49.7648635,41.2302175,27.018,27.256
1533.65,4048.82,49.718758,41.2252604,26.883,27.522
1505.65,3045.78,49.7206504,41.2391241,26.995,27.471
1663.08,805.42,49.7289104,41.2696926,26.951,27.459
3799.72,1196.31,49.7671142,41.2604472,26.902,27.744
1599.52,2729.41,49.7231284,41.2433116,27.365,27.734
1960.25,103.85,49.7360408,41.2788175,26.974,27.926
1055.33,160.23,49.7193229,41.279674,27.296,27.832
3979.41,1649.2,49.7693147,41.2538853,27.202,27.855
4034.8,108.7,49.7740419,41.2749981,27.134,27.776
1862.88,2679.18,49.7280724,41.2435282,27.257,27.779
1767.65,2160.4,49.7275733,41.2508442,27.24,27.825
389.32,750.47,49.7057033,41.2727458,27.261,27.807
3414.12,1844.13,49.7584912,41.2522244,27.241,27.906
